ep,scene,target_speaker,prompt,gold,gen
S04E14,1.0,Leonard,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>:",Wow. How do you get an entire lecture hall to flip you off at the same time?,"It’s like a bad joke.
<Howard>: It’s like a bad joke, but even worse.
<Raj>: Maybe we should post them on our Facebook page.
<Leonard>:"
S04E14,1.0,Howard,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>:","Apparently, if you’re Sheldon, all you need to do is turn your back.","I have a secret weapon. I’ll make a stinker of myself and then use it to prove how awesome I am.
<Leonard>: What’s the secret weapon?
<Howard>: My mouth."
S04E14,1.0,Penny,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>:","Hey, Leonard, is your wi-fi down? I can’t get on.","You know, I’ve been thinking about the other student who turned in his notes. I wonder if he’s ever going to get a chance to talk to Sheldon.
<Leonard>: That’s what I"
S04E14,1.0,Leonard,"<Leonard>: I found another tweet from a student at Sheldon’s lecture. Dr. Cooper has taken a relatively boring subject and managed to make it completely insufferable. Plus, he looks like a giant insect.
<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>:","Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.","It’s probably because I’m sitting in the middle of a lecture hall.
<Howard>: Penny, can you just turn on the wi-fi at the front of the room?
<Penny>:"
S04E14,1.0,Penny,"<Howard>: Look. Listen to this one. Does Einstein’s theory explain why time flies when you’re having fun, but when you’re listening to Dr. Cooper, it falls out of the sky, dead?
<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>:",Thanks. What are you guys doing?,"(shocked) What?! What do you mean, no spaces?
<Leonard>: (laughing) It’s a joke.
<Penny>: I’m not laughing. It’"
S04E14,1.0,Leonard,"<Raj>: Ooh, somebody took pictures and uploaded them to their Flickr account.
<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>: Thanks. What are you guys doing?
<Leonard>:",Sheldon gave a lecture at the university tonight. We’re reading the reviews.,"I’m trying to get a word out.
<Penny>: You’re a freeloader.

Based on the text material above, generate the response to the following quesion or instruction: Can you"
S04E14,1.0,Penny,"<Leonard>: Wow. How do you get an entire lecture hall to flip you off at the same time?
<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>: Thanks. What are you guys doing?
<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>:",Oh. How’d he do?,"Oh, I heard about that. You guys always talk about it.
<Leonard>: Yeah, we did. It was boring.
<Penny>: What did you guys think?
<Leonard>:"
S04E14,1.0,Howard,"<Howard>: Apparently, if you’re Sheldon, all you need to do is turn your back.
<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>: Thanks. What are you guys doing?
<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>: Oh. How’d he do?
<Howard>:","Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.","Yeah, Sheldon’s pretty good.
<Penny>: Yeah, I guess he’s pretty good.
<Leonard>: But he’s still freaking out.
<Penny>: He"
S04E14,1.0,Penny,"<Penny>: Hey, Leonard, is your wi-fi down? I can’t get on.
<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>: Thanks. What are you guys doing?
<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>: Oh. How’d he do?
<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>:","That bad, huh?","That’s a bad analogy.
<Leonard>: It’s a good analogy.
<Penny>: Well, it’s a bad analogy.
<Leonard>: But it’s"
S04E14,1.0,Leonard,"<Leonard>: Oh, Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
<Penny>: Thanks. What are you guys doing?
<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>: Oh. How’d he do?
<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>: That bad, huh?
<Leonard>:",Read this woman’s tweet.,"Well, Sheldon’s pretty good. I’ve always liked his physics.
<Penny>: That’s good.

BEGIN SCENE 5:
EXT. HAWAII - DA"
S04E14,1.0,Penny,"<Penny>: Thanks. What are you guys doing?
<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>: Oh. How’d he do?
<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>: That bad, huh?
<Leonard>: Read this woman’s tweet.
<Penny>:",Listening to Dr. Cooper has made me want to start cutting myself again,"Ugh, that’s not funny.
<Howard>: Yeah, but it’s right.
<Leonard>: That’s what I’m saying.
<Penny>: That’s not"
S04E14,1.0,Leonard,"<Leonard>: Sheldon gave a lecture at the university tonight. We’re reading the reviews.
<Penny>: Oh. How’d he do?
<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>: That bad, huh?
<Leonard>: Read this woman’s tweet.
<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>:",Yeah.,"I’ve been there.
<Penny>: I’m so sorry.
<Howard>: You’re not sorry.
<Penny>: (sighs)

Based on the text material"
S04E14,1.0,Sheldon,"<Penny>: Oh. How’d he do?
<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>: That bad, huh?
<Leonard>: Read this woman’s tweet.
<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>: Yeah.
<Sheldon>:","Good evening, Leonard, Howard, Raj, freeloader.","And, uh, I think I’ve got a new toy.
<Penny>: Oh, Sheldon.
<Leonard>: Yeah.

(Sheldon and Leonard are now in a"
S04E14,1.0,Howard,"<Howard>: Well, picture the Hindenburg meets Chernobyl meets Three Mile Island meets Tron 2.
<Penny>: That bad, huh?
<Leonard>: Read this woman’s tweet.
<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>: Yeah.
<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>:","So, how’d the lecture go?","Yes, good evening, Sheldon.
<Raj>: Yes, good evening, Sheldon.
<Sheldon>: And you, Penny, are now a freeloader.
<Leonard>:"
S04E14,1.0,Leonard,"<Penny>: That bad, huh?
<Leonard>: Read this woman’s tweet.
<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>: Yeah.
<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>: So, how’d the lecture go?
<Leonard>:","In a word, triumphant.","It was alright. I’m glad I’m no longer a freeloader.
<Raj>: I’m glad too.
<Sheldon>: Leonard, you’re a freeloader. You’"
S04E14,1.0,Leonard,"<Leonard>: Read this woman’s tweet.
<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>: Yeah.
<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>: So, how’d the lecture go?
<Leonard>: In a word, triumphant.
<Leonard>:",Really? Triumphant?,"I’m so proud of you, guys.
<Raj>: You have no idea.
<Leonard>: Thanks.

Scene 4:
(Leonard is sitting at his desk, looking over"
S04E14,1.0,Sheldon,"<Penny>: Listening to Dr. Cooper has made me want to start cutting myself again
<Leonard>: Yeah.
<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>: So, how’d the lecture go?
<Leonard>: In a word, triumphant.
<Leonard>: Really? Triumphant?
<Sheldon>:","Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.","Yeah.
<Leonard>: How’d he say it?
<Raj>: He said, “It’s like being on a first date with a beautiful woman.”
<Sheldon>: That’s impress"
S04E14,1.0,Penny,"<Leonard>: Yeah.
<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>: So, how’d the lecture go?
<Leonard>: In a word, triumphant.
<Leonard>: Really? Triumphant?
<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>:","Oh, please let me tell him.","But how did I not know that you were the smartest person in the room?
<Sheldon>: Penny, I was the one who pointed out the errors in your math homework.
<Leonard>: ("
S04E14,1.0,Leonard,"<Sheldon>: Good evening, Leonard, Howard, Raj, freeloader.
<Howard>: So, how’d the lecture go?
<Leonard>: In a word, triumphant.
<Leonard>: Really? Triumphant?
<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>: Oh, please let me tell him.
<Leonard>:","I don’t know, I kind of promised Howard.","(smiling) You can. But you’re not the only one.
(Sheldon and Howard look at each other, then to Leonard and Penny)
<Sheldon>: That was a great lecture, Pen"
S04E14,1.0,Sheldon,"<Howard>: So, how’d the lecture go?
<Leonard>: In a word, triumphant.
<Leonard>: Really? Triumphant?
<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>: Oh, please let me tell him.
<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>:",Tell me what?,"Oh, no, no, no, no, no! You know, I had a lecture on the theory of relativity.
<Leonard>: Oh, that's right. I remember.
<Sheldon>:"
S04E14,1.0,Howard,"<Leonard>: In a word, triumphant.
<Leonard>: Really? Triumphant?
<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>: Oh, please let me tell him.
<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>: Tell me what?
<Howard>:","Actually, we should all share the moment. Raj, if you would.","I’m going to bed now.
<Leonard>: (sarcastic) That’s too bad. I was hoping to catch up on some sleep.
<Sheldon>: (sarcastic)"
S04E14,1.0,Sheldon,"<Leonard>: Really? Triumphant?
<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>: Oh, please let me tell him.
<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>: Tell me what?
<Howard>: Actually, we should all share the moment. Raj, if you would.
<Sheldon>:","Oh, tweets about my lecture. Hmm. That’s rather unfair. That’s downright cruel. Plus, insects have six legs. Yeah, I’m not familiar with the acronym KMN.","(sarcastic) You're kidding, right?
<Raj>: Yes, I am. I'm really happy for you guys.
<Penny>: (smiling) Yeah, I'"
S04E14,1.0,Leonard,"<Sheldon>: Oh, yes, you should have seen those young people. Thirsty for knowledge, drinking in my wisdom. I may have changed a few lives today.
<Penny>: Oh, please let me tell him.
<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>: Tell me what?
<Howard>: Actually, we should all share the moment. Raj, if you would.
<Sheldon>: Oh, tweets about my lecture. Hmm. That’s rather unfair. That’s downright cruel. Plus, insects have six legs. Yeah, I’m not familiar with the acronym KMN.
<Leonard>:","Oh, uh, from the context, we think it means kill me now.","Sheldon, you’re really trying to be funny.
<Sheldon>: I’m not trying to be funny. I’m just being myself.
<Leonard>: Well, let’s"
S04E14,1.0,Sheldon,"<Penny>: Oh, please let me tell him.
<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>: Tell me what?
<Howard>: Actually, we should all share the moment. Raj, if you would.
<Sheldon>: Oh, tweets about my lecture. Hmm. That’s rather unfair. That’s downright cruel. Plus, insects have six legs. Yeah, I’m not familiar with the acronym KMN.
<Leonard>: Oh, uh, from the context, we think it means kill me now.
<Sheldon>:","Well, I suppose everyone’s entitled to their own opinion. I think I’ll turn in. I didn’t want to teach those poopy heads, anyway.","(laughs) Yes, you’re right.
<Leonard>: So, how about we make a bet on the outcome?
<Sheldon>: Really? I thought you didn’t believe in g"
S04E14,1.0,Howard,"<Leonard>: I don’t know, I kind of promised Howard.
<Sheldon>: Tell me what?
<Howard>: Actually, we should all share the moment. Raj, if you would.
<Sheldon>: Oh, tweets about my lecture. Hmm. That’s rather unfair. That’s downright cruel. Plus, insects have six legs. Yeah, I’m not familiar with the acronym KMN.
<Leonard>: Oh, uh, from the context, we think it means kill me now.
<Sheldon>: Well, I suppose everyone’s entitled to their own opinion. I think I’ll turn in. I didn’t want to teach those poopy heads, anyway.
<Howard>:","FYI, I think that’s what Darth Vader said just before he started building the Death Star.","I’m glad we’re all on the same page.
<Leonard>: I’m glad we’re all on the same page.
<Sheldon>: I’m glad we’re all on the"
S02E12,3.0,Howard,"<(voice)>: Howard, the phone is ringing!
<Howard>:","Here’s a crazy idea, Ma, answer it!","(sighs) Yeah, I know.

(The phone rings, and Howard answers.)

Howard: Hello?

Rachel: Hi, it's Rachel.

Howard: Rach"
S02E12,3.0,Howard,"<(voice)>: Howard, the phone is ringing!
<Howard>: Here’s a crazy idea, Ma, answer it!
<(voice)>: Hello? All right, hold on. It’s your friend, Leonard! He wants to know why you’re not at school today!
<Howard>:","I don’t go to school, Ma. I work at a university.","Leonard? What’s up?
<Leonard (on the phone): Hey, Howard! I got a big test today!
Howard: (laughs) I know, I know. But I’m taking"
S02E12,3.0,Howard,"<(voice)>: Howard, the phone is ringing!
<Howard>: Here’s a crazy idea, Ma, answer it!
<(voice)>: Hello? All right, hold on. It’s your friend, Leonard! He wants to know why you’re not at school today!
<Howard>: I don’t go to school, Ma. I work at a university.
<(voice)>: That’s a school! Now pick up the phone!
<Howard>:",I don’t want to talk to anybody.,"(sighs) Okay, okay, okay, I’ll pick it up.
<(voice)>: You’re not going to school today, Howard! You’re in a school of your own!
<How"
S02E12,3.0,Howard,"<Howard>: Here’s a crazy idea, Ma, answer it!
<(voice)>: Hello? All right, hold on. It’s your friend, Leonard! He wants to know why you’re not at school today!
<Howard>: I don’t go to school, Ma. I work at a university.
<(voice)>: That’s a school! Now pick up the phone!
<Howard>: I don’t want to talk to anybody.
<(voice)>: Should I ask Leonard to bring over your homework?!
<Howard>:",I don’t have homework. I’m a grown man with a master’s degree in engineering!,"Wait a minute! I’ll get it myself!
<(voice)>: Good! Now, Ma, I’ll tell him to go to the school and you can take care of your homework!
<Howard>:"
S02E12,3.0,Howard,"<Howard>: I don’t go to school, Ma. I work at a university.
<(voice)>: That’s a school! Now pick up the phone!
<Howard>: I don’t want to talk to anybody.
<(voice)>: Should I ask Leonard to bring over your homework?!
<Howard>: I don’t have homework. I’m a grown man with a master’s degree in engineering!
<(voice)>: Excuse me, Mr. Fancy-Pants. Want me to get you a Popsicle?
<Howard>:","Cherry, please!","(grunting) Get out of my way, you’re in the way!

Scene 2: Howard’s Bedroom

<Howard:> (sitting on his bed) What do I do?"
S02E12,3.0,Howard,"<Howard>: I don’t want to talk to anybody.
<(voice)>: Should I ask Leonard to bring over your homework?!
<Howard>: I don’t have homework. I’m a grown man with a master’s degree in engineering!
<(voice)>: Excuse me, Mr. Fancy-Pants. Want me to get you a Popsicle?
<Howard>: Cherry, please!
<(voice)>: I ate the cherry. All that’s left is green.
<Howard>:",You make me want to kill myself.,"Okay, I’ll wait for Leonard to bring me the Popsicle.

Based on the text material, what are the main conflicts and relationships in the play?"
S08E07,,Amy,"<Bernadette>: So, what are you working on these days?
<Amy>:",I’m studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.,"Oh, I'm working on a new product for my company. It's going to be a game app, but it's really innovative and will appeal to a younger audience.
<Bernadette>: That'"
S08E07,,Bernadette,"<Bernadette>: So, what are you working on these days?
<Amy>: I’m studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.
<Bernadette>:",What would a one-celled organism have to be embarrassed about?,"Oh, I love that! Shame is a fascinating topic. I’m currently working on a project with a group of students on how to better communicate emotions in the workplace.
<Amy>: That’s"
S08E07,,Penny,"<Bernadette>: So, what are you working on these days?
<Amy>: I’m studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.
<Bernadette>: What would a one-celled organism have to be embarrassed about?
<Penny>:","Same as all of us, getting out of a car without underwear.","I’m working on a new line of catnip toys for our cat, Patches.
<Amy>: What are you working on now?
<Bernadette>: I’m working on a new"
S08E07,,Penny,"<Bernadette>: So, what are you working on these days?
<Amy>: I’m studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.
<Bernadette>: What would a one-celled organism have to be embarrassed about?
<Penny>: Same as all of us, getting out of a car without underwear.
<Bermadette>: Speaking of underwear, I have some interesting news.
<Penny>:","Okay, if it’s sometimes Howie wears yours, Leonard already told us.","What kind of interesting news?
<Bernadette>: I just received a phone call from the National Institute of Health. They want me to come in for an interview for a position as a neuroscientist.
<A"
S08E07,,Bernadette,"<Bernadette>: So, what are you working on these days?
<Amy>: I’m studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.
<Bernadette>: What would a one-celled organism have to be embarrassed about?
<Penny>: Same as all of us, getting out of a car without underwear.
<Bermadette>: Speaking of underwear, I have some interesting news.
<Penny>: Okay, if it’s sometimes Howie wears yours, Leonard already told us.
<Bernadette>:","He was being funny. I’m pretty sure. Anyway, I was asked to be a part of a magazine article about the 50 sexiest female scientists in California. Isn’t that cool?","No, it’s not. Leonard has been telling everyone that Howard’s penis is covered in blue and yellow polka dots.
<Penny>: That’s right, Leonard’s penis is blue and"
